0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:40 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:40 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:40 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:40 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:40 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:41 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 200 3728
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:41 -0300] "GET /TCC-GamificationJava/modulos/get HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:44:45 -0300] "GET /TCC-GamificationJava/modulos/get HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2014:18:46:45 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
